name,plaintext,gold__base,gold__purchasable,gold__total,gold__sell,tags__001,tags__002,tags__003,tags__004,tags__005,tags__006,tags__007,tags__008,tags__009,tags__010,tags__011,tags__012,tags__013,stats__PercentAttackSpeedMod,stats__FlatPhysicalDamageMod,stats__PercentLifeStealMod,stats__FlatSpellBlockMod,stats__FlatArmorMod,stats__FlatMPPoolMod,stats__FlatMagicDamageMod,stats__FlatCritChanceMod,stats__PercentMovementSpeedMod,stats__FlatHPPoolMod,stats__FlatHPRegenMod,stats__FlatMovementSpeedMod
Demonic Embrace,,815,VERDADEIRO,3000,2100,Health,SpellDamage,,,,,,,,,,,,,,,,,,70,,,350,,
Watchful Wardstone,,1100,VERDADEIRO,1100,770,Health,Vision,Active,CooldownReduction,AbilityHaste,,,,,,,,,,,,,,,,,,150,,
Bandleglass Mirror,,265,VERDADEIRO,950,665,SpellDamage,ManaRegen,CooldownReduction,AbilityHaste,,,,,,,,,,,,,,,,20,,,,,
Vigilant Wardstone,,0,FALSO,1100,770,Health,Vision,Active,CooldownReduction,AbilityHaste,,,,,,,,,,,,,,,,,,150,,
Ironspike Whip,,225,VERDADEIRO,1100,770,Damage,Active,,,,,,,,,,,,,30,,,,,,,,,,
Silvermere Dawn,,425,VERDADEIRO,3000,2100,Health,SpellBlock,Damage,Active,Tenacity,,,,,,,,,,40,,35,,,,,,300,,
Death's Dance,,325,VERDADEIRO,3100,2170,Armor,Damage,CooldownReduction,AbilityHaste,,,,,,,,,,,55,,,45,,,,,,,
Chempunk Chainsword,,300,VERDADEIRO,2600,1820,Health,Damage,CooldownReduction,AbilityHaste,,,,,,,,,,,45,,,,,,,,250,,
Staff of Flowing Water,Your heals and shields reduce crowd control and grant movement speed,630,VERDADEIRO,2300,1610,SpellDamage,ManaRegen,AbilityHaste,,,,,,,,,,,,,,,,,50,,,,,
Moonstone Renewer,Your heals and shields cool down faster and have greater effect on low health allies,750,VERDADEIRO,2500,1750,Health,SpellDamage,CooldownReduction,,,,,,,,,,,,,,,,,40,,,200,,
Goredrinker,,300,VERDADEIRO,3300,2310,Health,Damage,LifeSteal,Active,CooldownReduction,SpellVamp,AbilityHaste,,,,,,,,45,,,,,,,,450,,
Stridebreaker,,300,VERDADEIRO,3300,2310,Health,Damage,AttackSpeed,Active,CooldownReduction,Slow,NonbootsMovement,AbilityHaste,,,,,,0.2,50,,,,,,,,300,,
Divine Sunderer,,700,VERDADEIRO,3300,2310,Health,Damage,LifeSteal,CooldownReduction,OnHit,MagicPenetration,ArmorPenetration,AbilityHaste,,,,,,,35,,,,,,,,400,,
Liandry's Anguish,"Charge up in combat to deal high damage over time, especially against durable enemies",1000,VERDADEIRO,3200,2240,SpellDamage,Mana,CooldownReduction,AbilityHaste,,,,,,,,,,,,,,,600,80,,,,,
Luden's Tempest,"High burst damage, good against fragile foes",1050,VERDADEIRO,3200,2240,SpellDamage,Mana,CooldownReduction,NonbootsMovement,MagicPenetration,AbilityHaste,,,,,,,,,,,,,600,80,,,,,
Everfrost,,250,VERDADEIRO,3200,2240,Health,SpellDamage,Mana,Active,CooldownReduction,Slow,AbilityHaste,,,,,,,,,,,,600,80,,,250,,
Bami's Cinder,,300,VERDADEIRO,1100,770,Health,,,,,,,,,,,,,,,,,,,,,,300,,
Frostfire Gauntlet,"High Magic Resist.Passively slow nearby enemies. When spells are cast near you, release a wave of energy that damages and slows.",950,VERDADEIRO,2800,1960,Health,SpellBlock,Armor,Aura,CooldownReduction,Slow,AbilityHaste,,,,,,,,,,25,25,,,,,350,,
Turbo Chemtank,Immobilize enemies to gain a shield. Activate to run faster at opponents.,950,VERDADEIRO,2800,1960,Health,SpellBlock,Armor,Aura,Active,CooldownReduction,Slow,NonbootsMovement,Tenacity,AbilityHaste,,,,,,,25,25,,,,,350,,
Noonquiver,,300,VERDADEIRO,1300,910,Damage,AttackSpeed,,,,,,,,,,,,0.15,30,,,,,,,,,,
Galeforce,,625,VERDADEIRO,3400,2380,Damage,CriticalStrike,AttackSpeed,Active,NonbootsMovement,,,,,,,,,0.2,60,,,,,,0.2,,,,
Kraken Slayer,,625,VERDADEIRO,3400,2380,Damage,CriticalStrike,AttackSpeed,ArmorPenetration,,,,,,,,,,0.25,65,,,,,,0.2,,,,
Immortal Shieldbow,,600,VERDADEIRO,3400,2380,Health,Damage,CriticalStrike,AttackSpeed,LifeSteal,,,,,,,,,0.2,55,0.1,,,,,0.2,,,,
Navori Quickblades,,825,VERDADEIRO,3400,2380,Damage,CriticalStrike,CooldownReduction,AbilityHaste,,,,,,,,,,,60,,,,,,0.2,,,,
The Collector,,425,VERDADEIRO,3000,2100,Damage,CriticalStrike,ArmorPenetration,,,,,,,,,,,,55,,,,,,0.2,,,,
Rageknife,,200,VERDADEIRO,800,560,AttackSpeed,OnHit,,,,,,,,,,,,0.25,,,,,,,,,,,
Duskblade of Draktharr,,1000,VERDADEIRO,3200,2240,Damage,Stealth,CooldownReduction,Slow,ArmorPenetration,AbilityHaste,,,,,,,,,60,,,,,,,,,,
Eclipse,,850,VERDADEIRO,3200,2240,Damage,LifeSteal,SpellVamp,NonbootsMovement,ArmorPenetration,,,,,,,,,,55,,,,,,,,,,
Prowler's Claw,,1000,VERDADEIRO,3200,2240,Damage,Active,CooldownReduction,NonbootsMovement,ArmorPenetration,AbilityHaste,,,,,,,,,60,,,,,,,,,,
Serylda's Grudge,,650,VERDADEIRO,3200,2240,Damage,CooldownReduction,ArmorPenetration,AbilityHaste,,,,,,,,,,,45,,,,,,,,,,
Serpent's Fang,,625,VERDADEIRO,2600,1820,Damage,ArmorPenetration,,,,,,,,,,,,,55,,,,,,,,,,
Anathema's Chains,,800,VERDADEIRO,2500,1750,Health,Active,CooldownReduction,AbilityHaste,,,,,,,,,,,,,,,,,,,650,,
